TIME,GEO,UNIT,IPC,Value
2006,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2008,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2009,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2010,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2011,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2012,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2013,Former Soviet Union (before 1991) / Total components of the former Soviet Union,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,6.333
2005,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,1.5
2006,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,9.333
2007,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,6.867
2008,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,4.143
2009,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,7.167
2010,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,8.275
2011,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,3
2012,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,7.7
2013,South Africa,Number,Technologies or applications for mitigation or adaptation against climate change,1
2004,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,84.505
2005,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,64.323
2006,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,90.442
2007,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,69.282
2008,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,66.669
2009,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,101.686
2010,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,94.982
2011,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,81.815
2012,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,62.728
2013,Canada,Number,Technologies or applications for mitigation or adaptation against climate change,24.8
2004,United States,Number,Technologies or applications for mitigation or adaptation against climate change,612.042
2005,United States,Number,Technologies or applications for mitigation or adaptation against climate change,719.209
2006,United States,Number,Technologies or applications for mitigation or adaptation against climate change,877.758
2007,United States,Number,Technologies or applications for mitigation or adaptation against climate change,919.086
2008,United States,Number,Technologies or applications for mitigation or adaptation against climate change,"1,111.82"
2009,United States,Number,Technologies or applications for mitigation or adaptation against climate change,"1,244.79"
2010,United States,Number,Technologies or applications for mitigation or adaptation against climate change,"1,145.22"
2011,United States,Number,Technologies or applications for mitigation or adaptation against climate change,"1,089.50"
2012,United States,Number,Technologies or applications for mitigation or adaptation against climate change,"1,017.39"
2013,United States,Number,Technologies or applications for mitigation or adaptation against climate change,431.852
2004,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,1
2005,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,1
2006,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,3.8
2007,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,1.5
2008,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,3.525
2009,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,0.9
2010,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,1.333
2011,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,1.2
2012,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,1.902
2013,Mexico,Number,Technologies or applications for mitigation or adaptation against climate change,2.167
2004,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,4
2005,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,4.5
2006,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,11.643
2007,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,11.167
2008,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,18.011
2009,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,8.333
2010,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,6.6
2011,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,6.45
2012,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,6.167
2013,Brazil,Number,Technologies or applications for mitigation or adaptation against climate change,3
2004,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,19.306
2005,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,28.333
2006,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,37.535
2007,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,39.095
2008,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,57.833
2009,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,97.525
2010,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,138.247
2011,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,96.112
2012,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,80.445
2013,China (except Hong Kong),Number,Technologies or applications for mitigation or adaptation against climate change,35.236
2004,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,:
2005,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,:
2006,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,:
2007,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,3
2008,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,1.2
2009,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,1.25
2010,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,1
2011,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,:
2012,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,1
2013,Hong Kong,Number,Technologies or applications for mitigation or adaptation against climate change,:
2004,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,635.265
2005,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,667.99
2006,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,682.526
2007,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,775.883
2008,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,803.523
2009,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,"1,049.85"
2010,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,"1,265.19"
2011,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,"1,119.95"
2012,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,"1,031.24"
2013,Japan,Number,Technologies or applications for mitigation or adaptation against climate change,320.789
2004,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,108.782
2005,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,158.833
2006,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,164.732
2007,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,172.657
2008,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,179.527
2009,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,288.51
2010,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,332.633
2011,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,322.028
2012,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,307.97
2013,South Korea,Number,Technologies or applications for mitigation or adaptation against climate change,203.2
2004,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,15.25
2005,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,8
2006,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,16.8
2007,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,41.8
2008,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,38.875
2009,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,58.429
2010,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,47.967
2011,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,66.475
2012,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,41.417
2013,Taiwan,Number,Technologies or applications for mitigation or adaptation against climate change,28.933
2004,India,Number,Technologies or applications for mitigation or adaptation against climate change,4.783
2005,India,Number,Technologies or applications for mitigation or adaptation against climate change,8.583
2006,India,Number,Technologies or applications for mitigation or adaptation against climate change,5.014
2007,India,Number,Technologies or applications for mitigation or adaptation against climate change,12.883
2008,India,Number,Technologies or applications for mitigation or adaptation against climate change,19.75
2009,India,Number,Technologies or applications for mitigation or adaptation against climate change,39.639
2010,India,Number,Technologies or applications for mitigation or adaptation against climate change,28.588
2011,India,Number,Technologies or applications for mitigation or adaptation against climate change,44.277
2012,India,Number,Technologies or applications for mitigation or adaptation against climate change,32.484
2013,India,Number,Technologies or applications for mitigation or adaptation against climate change,11.515
2004,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,1.333
2005,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,2.333
2006,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,4.15
2007,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,12.361
2008,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,16.25
2009,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,29.429
2010,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,29.426
2011,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,18.248
2012,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,11.317
2013,Singapore,Number,Technologies or applications for mitigation or adaptation against climate change,3
2004,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,12.619
2005,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,15.767
2006,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,30.75
2007,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,29.375
2008,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,50.417
2009,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,44.167
2010,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,37.958
2011,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,33.6
2012,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,31.05
2013,Israel,Number,Technologies or applications for mitigation or adaptation against climate change,9.375
2004,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,28.592
2005,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,26.5
2006,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,25.833
2007,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,41.7
2008,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,42.117
2009,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,41.668
2010,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,41.967
2011,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,41.626
2012,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,32.75
2013,Australia,Number,Technologies or applications for mitigation or adaptation against climate change,3
2004,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,5
2005,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,0.292
2006,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,6.25
2007,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,11.2
2008,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,6.532
2009,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,7
2010,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,5.333
2011,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,8.667
2012,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,13.833
2013,New Zealand,Number,Technologies or applications for mitigation or adaptation against climate change,0.8
2004,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"2,494.39"
2005,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"2,903"
2006,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"3,385.25"
2007,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"4,092.46"
2008,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"4,673.52"
2009,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"5,638.67"
2010,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"5,910.17"
2011,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"5,837.50"
2012,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"5,185.75"
2013,All countries of the world,Number,Technologies or applications for mitigation or adaptation against climate change,"2,095.75"
